gFx,gFy,gFz
-0.03612184100933886,-0.1908852957149002,-0.9720011932416022
-0.036435377499477575,-0.19045790490286488,-0.9762795963724692
-0.04055938581181437,-0.18651342383347871,-0.9826442207945653
-0.040037275564614117,-0.18669121830178997,-0.9850777073904375
-0.036112676568263516,-0.18855986662144564,-0.9836451319685993
-0.03888523883715616,-0.19124921590698518,-0.9783603175014046
-0.04643110193326649,-0.19093641510661097,-0.9883829818895931
-0.04804906860958763,-0.19034019184771683,-0.9907285448711954
-0.04307071394963438,-0.1856620184676748,-0.9835824075650946
-0.04100096623650026,-0.19259944377386257,-0.9782998712482672
-0.04109872392820722,-0.1904907119565952,-0.9792372759962819
-0.0410958794315675,-0.19188979422141844,-0.9834384398604912
-0.04224333590159929,-0.19310452990170981,-0.9842352389976047
-0.04235669821747864,-0.19739574345748534,-0.9779618049526927
-0.0372051024251357,-0.20151565450077275,-0.9808633460669349
-0.03197041079387531,-0.19645734796310418,-0.9826335910734587
-0.03730893958155888,-0.19213000092447863,-0.9826832337345239
-0.04453998481419817,-0.19088704148329844,-0.9815040588126984
-0.04560059045743259,-0.19040380782396654,-0.9851068735403647
-0.04579529420812124,-0.19558323891835327,-0.974692346232247
-0.04113093992652384,-0.19455163075218182,-0.9759972778259263
-0.038642912298651376,-0.1944063411611072,-0.9826297586784479
-0.0395371258984936,-0.19463528432382568,-0.9827987576058544
-0.041033211759762225,-0.19319111913597656,-0.9806002208488185
-0.0436705771380407,-0.19558005129365857,-0.9812350767520021
-0.042185744800153455,-0.19718762859297678,-0.975464412217644
-0.0399301243039167,-0.19828392604057826,-0.9788884370500324
-0.03904398476196422,-0.1986326105787669,-0.9820925630490308
-0.04111702214212829,-0.1992044859138616,-0.9784978181118249
-0.043822285531204104,-0.20126769821510815,-0.9779024005645292
-0.04129810075031761,-0.19938404557312137,-0.9839261002430925
-0.04090111920487966,-0.1960752429547836,-0.9771651491265535
-0.041635180236814354,-0.19977045583896158,-0.9755622898178811
-0.04730159078322866,-0.19864108303196015,-0.9753710404394499
-0.04788911626255103,-0.19707966808114666,-0.9721700495495422
-0.04482299456839006,-0.19486156564407664,-0.9701714307144992
-0.04394515370611618,-0.1942918218816613,-0.9667377380225931
-0.046306664252995296,-0.19530337054324096,-0.9824732303560306
-0.03833209861179176,-0.2002708258108432,-0.979711426342097
-0.03738845979529035,-0.20399255782923695,-0.9857030198431356
-0.037609183883686094,-0.20290566194739038,-0.9858646373817876
-0.03632784363235674,-0.201124346746894,-0.972004108106027
